"id","order","score","weight","color","label"
"FB",3,	3,1,"#E1514B","F. Barrientos"
"JL",4,	6,1,"#F47245","J. Lopez"
"JC",5,	2,1,"#FB9F59","J. Chaname"
"MZ",6,	1,1,"#FEC574","M. Zoccali"
"AR",7,1,1,"#FAE38C","A. Reisenegger"
"MAD",8,6,1,"#EAF195","M. A. Diaz"
"AC",9,5,1,"#C7E89E","A. Clocchiatti"
"EM",2,9,1,"#C32F4B","E. Muñoz"
"ES",10,5,1,"#9CD6A4","E. Stockmeyer"
"JM",11,3,1,"#6CC4A4","J. Maze"
"EA",12,2,1,"#4D9DB4","E. Arevalo"
"FV",13,2,1,"#4776B4","F. Veloso"
"SW",14,3,1,"#5E4EA1","S. Wallentowitz"
"LM",15,1,1,"#FF80BF","L. Morales"
"MB",16,4,1,"#29A329","M. Bañados"
"GD",17,4,1,"#FFE680","G. During"
"NA",1,9,1,"#9E0041","Ninguno"

